show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
Sherlock Hound,7.5,1984-1985,24,"Animation, Action, Adventure",,"1,422","The adventures of the canine detective Sherlock Hound and his loyal companions Dr. Watson, Mrs. Hudson and Inspector Lestrade."
The All-New Super Friends Hour,7.2,1977-1978,60,"Animation, Action, Adventure",,"1,742",A team of the greatest DC Comics superheroes protects Earth with the help of a pair of alien sibling apprentices.
The Web of Spider-Man,6.9,2017- ,,"Action, Sci-Fi",,90,"After the murder of his uncle by a developing gang that has been taking over New York, a young grieving Peter Parker takes vengeance into his own hands by pursuing his uncle's killer as a masked vigilante."
Ultraman,7.6,1972-1973,,Sci-Fi,TV-PG,510,An English language version of Ultraman: A Special Effects Fantasy Series (1965) following a man named Hayata who transforms into a giant superhero named Ultraman to fight alien invaders and giant monsters that threatened earth.
The Lone Ranger,7.7,1966-1969,30,"Animation, Family, Western",,119,An ex-Texas Ranger fights injustice in the Old West.
Darna,8.6,2009-2010,30,"Action, Drama, Fantasy",,53,"The story of Narda, an attractive young woman who grows up in an orphanage and lives a happy, quiet and simple life until she becomes the heiress of a stone that gives her super powers."
Flash Gordon,5.9,1954-1955,30,"Action, Adventure, Family",,262,"Space hero Flash Gordon and his crew of the Galaxy Bureau of Investigation patrol space, battling space monsters, power-mad alien dictators and other threats to the stability of the universe."
Max Steel,6.3,2000-2002,30,"Animation, Action, Sci-Fi",TV-Y7,561,A teenage boy with accidental body enhancements fights the enemies of peace as a super-powered secret agent.
Captain Midnight,8,1954-1958,30,Sci-Fi,TV-G,133,"In this exciting 15 chapter adventure, Ivan Shark is after a secret range finder that will enable his bombers to engage in a furious reign of terror and Captain Midnight is called upon to stop him."
The Adventures of Superseven,7,2011-2014,14,"Action, Adventure, Comedy",,134,"Super7even is an international man of mystery and the top agent for T.H.E.M! (A secret organization, sworn to battle the world wide forces of evil!). Superseven's code name is DANGER! His ... See full summary »"
Bionic Six,7.4,1987- ,22,"Animation, Action, Family",,806,A family of cyborg superheroes fights evil around the world.
Gatchaman,7.8,1972-1974,25,"Animation, Action, Adventure",TV-PG,734,"A team of bird-themed superhero ninjas battle the menace of Galactor, a technologically advanced international terrorist organization determined to conquer the world."
Exosquad,8.4,1993-1995,30,"Animation, Drama, Sci-Fi",TV-Y7,"1,128","Set in the beginning of the 22nd century, a interplanetary war between humanity and Neosapiens (a fictional race)."
Devilman,6.6,1972-1973,30,"Animation, Action, Fantasy",,298,"Akira and his father are killed while mountain climbing in the Himalayas, and Devilman chooses Akira's body as a cover to disguise himself. When Devilman/Akira moves in with the Makimuras, ... See full summary »"
Mazinger Z,7.8,1972-1974,30,"Action, Animation, Sci-Fi",,"1,316","Teenager Koji Kabuto pilots the amazing super-robot Mazinger Z to avenge its inventor (his grandfather) against the Mycene Empire, led by the evil mad scientist Doctor Hell."
Mortal Kombat: Defenders of the Realm,6,1995-1996,30,"Animation, Action, Adventure",TV-Y7,"1,283","After the events of the first Mortal Kombat movie and the third MK video game, the evil forces of Outworld begin their invasion of the Earthrealm and only Raiden and his Mortal Kombat champions stand in their way."
Phantom 2040,7.2,1994-1996,30,"Animation, Action, Crime",,608,"The 24th Phantom, the 'Ghost Who Walks,' battles crimes in the future of 2040."
Dinosaur Squadron Zyuranger,7.9,1992-1993,25,"Action, Adventure, Comedy",TV-PG,300,Kyōryū Sentai Zyuranger is a Japanese tokusatsu television series and the sixteenth installment in the long-running Super Sentai franchise of superhero programs.
Ultra Violet & Blue Demon,Not-Rated,TBA,,"Action, Adventure, Comedy",,,"13-year-old Violet is stunned when a magical luchador mask ""chooses"" her to be the successor to her uncle, the famed luchador Blue Demon Jr. who is actually a secret superhero."
The Secret Squirrel Show,6.8,1965-2003,30,"Animation, Crime, Family",TV-G,"1,480",A bucktoothed squirrel is the James Bond of the rodent world.
Garo,7.8,2005-2006,24,"Action, Fantasy, Horror",,220,"Garo focuses on Kouga Saezima, the current possessor of the title, Golden Knight Garo, who protects humanity against dark demonic infestations called Horrors. One day he meets a young girl ... See full summary »"
Eon Kid,8.2,2007- ,,"Animation, Action, Adventure",TV-PG,385,"Marty, an ordinary 11-year-old boy, suddenly becomes the human extension of the Fist of Eon, gaining amazing fighting powers. With the evil General's dark armies in pursuit of his newfound ... See full summary »"
Ultraseven,8.2,1967-1968,30,"Action, Adventure, Drama",TV-PG,376,"An alien superhero from M-78 protects Earth from extraterrestrial threats in this popular classic follow-up to the original ""Ultraman"" TV series."
Batman: Black and White,7.8,2008- ,,"Animation, Crime, Drama",,242,This Black and White TV series features Batman and his adventures in Gotham city.
Darna,7,2005,,"Action, Drama, Fantasy",,68,"Evil Queen Braguda together with her race the Anomalka attacks the planet of Marte. Surprised by the attack, Adran, Queen of the Adranika, realizes that Braguda is eager to possess the ... See full summary »"
RoboCop,6.1,1988,21,"Animation, Action, Crime",TV-Y7,964,"Alex Murphy, a police officer, mortally wounded in the line of duty, is turned into a powerful cyborg and continues to serve the public trust, protect the innocent and uphold the law."
Holmes and Yoyo,5.9,1976-1977,30,"Comedy, Crime, Sci-Fi",,227,The cases of a hard luck police detective and his android partner.
G-Force: Guardians of Space,7.4,1987,22,"Animation, Action, Adventure",TV-Y7,749,"A bird-themed superhero team battles the threat of Galactor and his minions, an international terrorist organization with advanced technology."
The Adventures of the Galaxy Rangers,7.6,1986,30,"Animation, Action, Adventure",TV-MA,"1,258",Four elite Galaxy Rangers with unique abilities defend law & order among the space colonies and protect humanity from the evil Crown Empire.
A.T.O.M.: Alpha Teens on Machines,7,2005-2007,"1,248","Animation, Action",TV-Y7,930,"A.T.O.M. (Alpha Teens on Machines) chronicles the adventures of five teenagers, set in the fictional Landmark City. The Alpha Teens, which consist of Axel Manning (the main character), ... See full summary »"
Super Mario World,7,1991,30,"Animation, Adventure, Comedy",TV-Y7,973,"Mario, Luigi and Princess Toadstool are living in Dinosaur Land and have a cute always hungry dinosaur named Yoshi as a pet and a caveman child as a friend. They must stop evil King Koopa and his minions the Koopalings."
G.I. Joe: Renegades,7,2010-2011,,"Animation, Action, Adventure",TV-Y7-FV,"1,062","This animated series shows the Joes on the run from the Government, trying to clear their names and stop their evil nemesis, Cobra."
Perman,8.1,1983-1985,15,"Animation, Action, Adventure",TV-Y7,513,"A clumsy boy, Mitsuo is chosen as apprentice to a powerful superhero."
Aaryaman Brahmand Ka Yoddha,6.2,2002- ,45,"Action, Adventure, Sci-Fi",,125,Aryamaan the warrior Prince will Save the people of Ariyana galaxy from all adverse situations.
Transformers: Cybertron,6.5,2005,30,"Animation, Action, Adventure",TV-Y7,886,The Autobots embark on a quest to locate mystical artifacts to save their homeworld of Cybertron from being sucked into a black hole. But the Decepticons want to get their hands on those artifacts too.
Devilman Lady,6.4,1998-1999,30,"Animation, Action, Drama",TV-MA,262,"A supermodel is attacked by a monster which brings her inner devil out. However, she doesn't let go of her humanity, so a secret government agency asks her to help them fight the demonic forces that secretly threaten Japan and the world."
Ultimate Muscle: The Kinnikuman Legacy,7.6,2002-2004,30,"Comedy, Action, Animation",TV-Y7,422,"Bulging Biceps! The world of wrestling will never be the same! There's a new kid in town...Kid Muscle! A superhero wrestler, Born as Mantaro Kinnikuman, He's The Son Of The Legendary King ... See full summary »"
The Space Giants,7.6,1966- ,30,Sci-Fi,,161,"Goldar and his family of robots are sent to earth to stop Rodak the conqueror, in his plans of destroy the earth aided by his giant kaijus and shapeshifting minions: the lugo-men."
Transformers: Energon,6.1,2004,24,"Animation, Action, Adventure",TV-Y7,786,"Years after ""Transformers: Armada"", the Autobots continue to battle the Decepticons, but this time they must also prevent the resurrection of Unicron."
Hero Bhakti Hi Shakti Hai,7.4,2005-2007,30,"Action, Adventure, Drama",,243,"It show is about the heroic deeds and adventures of a superhero called Hero, who is bestowed with out-of-this-world magical powers by the Goddess Durga to help him fight the criminals and supervillains."
Lobo,6.3,2000,2,"Animation, Short, Action",TV-MA,119,"The many adventures of the Main Man Lobo, a galactic bounty hunter."
The X's,5.8,2005-2006,,"Animation, Action, Comedy",TV-Y7,"1,298","The escapades of the X's, a family of well trained secret agents gifted in thwarting the forces of evil, yet not so gifted in fitting into everyday life."
Koala Man,Not-Rated,TBA,,"Animation, Action, Adventure",,,Follows a family father who lives a not-so-secret identity as the titular hero who possesses a burning passion to snuff out petty crime.
Chloe Chronicles Smallville,6.6,2003- ,,"Short, Mystery, Sci-Fi",,185,Chloe Sullivan goes on with her research on extended stories of her Wall of Weird findings.
Transformers: Robots in Disguise,6.8,2000,22,"Animation, Action, Adventure",TV-Y7,538,Optimus Prime and the Autobots defend Earth against Megatron and combined forces of the evil Predacons and Decepticons.
Kamen Rider Black,8.2,1987-1988,25,"Action, Adventure, Drama",TV-PG,465,"Kidnapped foster brothers Kôtarô Minami and Nobuhiko Akizuki were turned into cyborgs by the evil empire Golgom. Having managed to escape, Kôtarô transforms into Kamen Rider Black, dedicated to fighting Golgom, and searching for Nobuhiko."
Casshern Sins,7.2,2008- ,24,"Animation, Action, Adventure",TV-MA,848,"The world is falling apart and Casshern is to blame. He is said to have killed a robot named ""Luna"" and by doing so unleashed a plague referred to as ""ruin"". But Casshern has no ... See full summary »"
Cybersix,7.9,1999,,"Animation, Action, Adventure",TV-Y7,547,A female android battles her evil creator's forces as a mysterious superhero.
Dino Squad,5.5,2007-2008,30,Animation,TV-PG,150,Five quirky teenagers become dinosaurs to fight crime.
Action Man,6.1,1995-1997,30,"Animation, Action, Adventure",TV-Y7,440,The adventures of Action Man and his friends in the fight against Doctor X.
Zetman,6.4,2012- ,,"Animation, Action, Sci-Fi",TV-MA,518,The story starts off with showing what players are and showing how Kouga and Jin were friends when they were young than the story makes a leap forward in time and follows the 2 main ... See full summary »
Dragon Booster,7.4,2004-2006,30,"Adventure, Action, Animation",TV-Y7,893,A teenager named Artha Penn teams up with a dragon named Beau and Artha was the chosen hero called the Dragon Booster.
Plastic Man,6.5,1979- ,120,"Animation, Adventure, Family",TV-G,481,The adventures of the original stretchable superhero and various other characters.
American Jesus,Not-Rated,TBA,,"Action, Adventure, Drama",,,Jesus Christ returns to Earth where he takes on the Antichrist in a final battle to save humankind.
Sabrina the Teenage Witch,6.9,1971-1974,,"Animation, Comedy, Family",,261,Toon version of the Archie Comics witch who uses her powers to aide the uncertainty of adolescence.
Commando Cody: Sky Marshal of the Universe,6,1953- ,30,"Action, Adventure, Sci-Fi",,167,Dangerous climate changes are ravaging Earth and the U.S. government requests an investigation by masked super-scientist Commando Cody. He discovers that the disasters are being caused by space-alien forces from unknown planetary origins.
Challenge of the Superfriends,7.6,1978,30,"Animation, Action, Family",TV-Y7,"1,664","The Justice League of America battles the plots of the supervillian team, the Legion of Doom."
SuperBook,7,1981-1982,,"Animation, Adventure, Drama",TV-G,335,A mystical Bible transports children into it to relive adventures from the Testaments.
Sable,7.4,1987-1988,60,Adventure,,61,A children's book writer serves as a mysterious vigilante at night.
Wild West C.O.W.-Boys of Moo Mesa,7.3,1992-1994,30,"Animation, Short, Action",TV-Y7,306,"In the 1800's, a mysterious comet hits the U.S. southwest, transforming the local cattle and animals into their own version of the old west called Moo Mesa, complete with several lawmen dealing with bizarre outlaws."
Kamen Rider Zi-O,6.9,2018-2019,24,"Action, Adventure, Comedy",TV-PG,276,"Sougo Tokiwa who always dreamed of becoming a king encounters a mysterious girl who came from the future and warns him that he would become the king of all time, Kamen Rider Zi-O, who destined to rule the world."
Biker Mice from Mars,6.4,2006-2007,22,"Animation, Action, Sci-Fi",TV-Y7-FV,388,"Martian Mice, who ride motorcycles, crash land on Earth and help fight against the Catatonians."
Dinosaucers,6.5,1987,30,"Animation, Action, Comedy",TV-Y7,698,Two factions of warriors from outer-space crash land on Earth; a good one in light blue armor and an evil one of red dinosaurs in dark blue armor . The good join forces with several Earth ... See full summary »
Storm Hawks,7.1,2007-2009,22,"Animation, Adventure, Comedy",TV-Y7,726,Storm Hawks is set in a fantastical world where squadrons of high-flying Sky Knights battle to protect their air turf. Five mismatched teens have found the wreckage of legendary sky knight ... See full summary »
Superman: Red Son,7.1,2009,6,"Animation, Action, Adventure",,"1,028","In the 1950s, the Soviet Union reveals its newest asset to be Superman. The sudden revelation of a superpowered alien under Soviet control causes panic in the United States, shifting the ... See full summary »"
The New Adventures of He-Man,5.5,1990-1991,30,"Animation, Action, Adventure",,549,"The sequel series to He-Man, taking place 10,000 years into the future. Prince Adam is brought from the past to protect the Planet Primus from the evil mutants led by Floog and Skeletor."
Junior-G,6.7,2001- ,,"Action, Fantasy",,103,"A 12 years old boy blessed with magical divine powers fights evil persons like Fyumancho, Linda, Bobo, Madamme mercury, Helma, Dyana-the witch, Samahona, Bona and Magneto."
The Team Unicorn Saturday Action Fun Hour!,7.3,2014- ,,Comedy,,14,Four heroines and some dark twists.
Mona the Vampire,6.3,1999-2008,23,"Animation, Adventure, Comedy",TV-Y,"1,259","An animated TV series about a girl called Mona, a young girl with a vivid imagination. She believes her hometown is overrun with supernatural monsters, and she plans to stop them all and save the town on a daily basis."
Kaiketsu Zoro,7.7,1996-1997,105,"Animation, Action, Adventure",,579,"Diego Vega returns from his study trip to discover his homeland is under the army's dictatorship. Diego, refusing to watch idly, disguises himself as Zorro to protect the weak and oppressed."
Wild C.A.T.S: Covert Action Teams,6.8,1994- ,,"Animation, Action, Adventure",,641,Universal war wages between two prehistoric alien races. One of the races is the heroic Kherubim while the other is the evil Daemonites.
Xiaolin Chronicles,6.6,2013-2015,22,"Animation, Short, Action",TV-Y7-FV,"1,029","The team of ""Xiaolin Showdown"" is rebooted in this all new TV series to hunt down Shen Gon Wu. By their side, a new ally joins them in the fight of good vs. evil."
The League of Super Evil,6.5,2009-2012,22,"Animation, Action, Comedy",TV-Y7,375,"This show follows the wannabe super villains that make up ""The League Of Super Evil""."
Mighty Thor,6.6,1966,,"Animation, Action, Fantasy",,731,The contemporary adventures of the Norse god of thunder and lightning.
Godzilla,6.4,1978-1980,30,"Animation, Adventure, Family",TV-Y7,677,"The crew of the research vessel, The Calico, investigate strange phenomena and often meet menaces that force them to summon Godzilla to help."
StarBeam,6.9,2020- ,,"Animation, Action, Adventure",TV-Y,89,"Zoey is excited to tackle second grade, but when danger beckons, she sneaks away and with her signature call out and transforms into StarBeam, the speediest, most powerful and most enthusiastic superhero to ever sip from a juicebox."
Astro Boy,7.4,1963-1966,30,"Animation, Action, Adventure",TV-Y7,912,"As long as trouble's brewing across the universe, the small but powerful robot, Astro Boy, will have adventures, assisted by his mentor, Dr. Elefun."
Sherlock Holmes in the 22nd Century,7.4,1999-2001,30,"Animation, Action, Adventure",TV-Y7,478,A defrosted Holmes teams with a robotic Watson and a female Inspector Lestrade to stop the criminal rampage of Moriarty's clone.
Super Girl,5.5,2011- ,9,"Action, Comedy, Fantasy",,308,Not-for-profit fan production depicting Super Girl's first year in college.
Adam Adamant Lives!,7,1966-1967,50,"Adventure, Sci-Fi",,214,"In 1902, Edwardian adventurer Adam Adamant is frozen alive in a block of ice by his arch-nemesis, the Face. In 1966, workmen discover him and he is revived, perfectly preserved but ... See full summary »"
Steve Canyon,7.2,1958-1959,30,Adventure,,114,"Air Force pilot Steve Canyon, the commander of Big Thunder Air Force Base, travels from base to base as an all around trouble shooter, when he's not dealing with the the personal and military problems of his own everyday life."
G.I. Joe: Sigma 6,5.2,2005-2006,30,"Animation, Action, Adventure",TV-Y7-FV,304,"G.I. Joe has been the Real American Hero for over twenty years, and is now jumping into the 21st Century with both feet forwards. Showing in half hour blocks, the producers promise a solid ... See full summary »"
Who Wants to Be a Superhero?,6.1,2006- ,,"Game-Show, Reality-TV",,"1,019",Eleven hopefuls create their own superhero alter ego in a competition judged by comic book maestro Stan Lee; the winner will be immortalized in a new comic book to be created by Stan Lee himself and released by Dark Horse Comics.
Chuck Norris: Karate Kommandos,5.8,1986,30,"Animation, Action, Family",TV-Y7,259,"Chuck Norris is an operative for the United States government who has a team consisting of Pepper, a technological genius, Kimo, a Samurai warrior, Reed, his apprentice, Tabe, a Sumo ... See full summary »"
The Dick Tracy Show,6.1,1961- ,23,"Animation, Crime, Adventure",,221,"Cartoon series produced by UPA, in which Dick Tracy (voiced by the distinguished film and stage actor Everett Sloane) played more or less of an incidental role. Most of the crime fighting ... See full summary »"
ProStars,5.7,1991,30,"Animation, Short, Adventure",,162,"Three of the most famous sports stars of the day, basketball star Michael Jordan, hockey star Wayne Gretzky and baseball star Bo Jackson, team up to respond to emergencies around the world."
Superman,7,1948- ,,"Action, Sci-Fi",,69,"Kirk Alyn sets the heroic standard for generations to come - as Superman, the Man of Steel - in these fun, multichapter cliffhanger adventures. The 15-chapter Superman from 1948 spans our ... See full summary »"
The New Adventures of Superman,7.4,1966-1970,30,"Animation, Action, Sci-Fi",TV-Y7-FV,883,Superman protects Metropolis and the world from a variety of threats while working at the Daily Planet as Clark Kent.
Black Spider-Man,7,2014- ,,Comedy,,19,"Black Spider-Man is not your typical superhero. Actually, he is not a hero at all. Always stoned and usually way out of line, he causes more trouble than he prevents."
Gosei Sentai Dairanger,8.1,1993-1994,25,"Action, Adventure, Comedy",TV-PG,221,"Angered by the Dairanger's lack of confidence in each other in dealing with the Key Jester, Master Kaku forces the team to learn a history lesson regarding the Gorma and the consequences of their failure."
Bigfoot and Wildboy,6.7,1977- ,30,Adventure,,130,"Children's series about Wildboy, an orphan who was raised in the wilderness of the Pacific Northwest by the legendary Sasquatch. Wildboy and Bigfoot roamed the countryside stomping out ... See full summary »"
Guyver: The Bioboosted Armor,7.8,2005-2006,23,"Animation, Action, Adventure",TV-MA,745,"Sho Fukamachi, a normal teenager accidentally found an alien object called Unit and thus, changed his life forever. The Unit bonded with Sho, resulting a powerful fighting life form called Guyver."
Legend of the Dragon,6.6,2005-2008,,"Animation, Action, Fantasy",TV-Y,209,"Ang (The Golden Dragon) protects the twelve Zodiac Temples, while his twin sister Ling (The Shadow Dragon) swears to destroy them."
King Arthur and the Knights of Justice,7.3,1992-1994,30,"Animation, Adventure, Family",,491,"When the real King Arthur and his knights are captured by Morgana, Merlin casts a spell to bring an American football team called The Knights led by Arthur King to the past to help free the... See full summary »"
Iron Man,6.6,1966,,"Animation, Action, Sci-Fi",,993,An inventive munitions industrialist fights the forces of evil using a revolutionary suit of power armor.
Toxic Crusaders,6.6,1991-1993,24,"Animation, Action, Comedy",TV-Y7,507,"A group of mutants fight against the pollution-loving alien Dr. Killemoff in the fictional city of Tromaville, led by Toxie, a nerd-turned-superhero."
Major Lazer,7.6,2014-2015,15,"Animation, Action, Comedy",TV-MA,826,Major Lazer and his team of renegades fight the evil President of Jamaica for the right to party.
Ressha Sentai ToQger,7.8,2014-2015,25,"Action, Adventure, Comedy",TV-PG,156,"Only those with a great imagination can see the mystical railway known as the Rainbow Line, on which runs massive trains known as Ressha are driven by five warriors. These five warriors, ... See full summary »"
Chouriki Sentai Ohranger,7.4,1995-1996,20,"Action, Adventure, Comedy",TV-PG,104,"600 million years ago, ancient mankind created a rebellious robot named Bacchus Wrath. Riki (Kingranger) banished Bacchus Wrath from earth. In year 1999, He returns to earth with the ... See full summary »"
Galtar and the Golden Lance,7.1,1985-1986,30,"Action, Animation, Fantasy",,233,"Searching for the vile Tormak, the despot responsible for the deaths of his parents, Galtar aligned himself with beautiful princess Goleeta and her feisty younger telekinetic brother Zorn. ... See full summary »"
The Savage Dragon,6.5,1995-1996,22,"Animation, Action, Adventure",,133,"Chicago cop, Frank Darling, discovers a huge green-skinned mutant named Dragon who suffers from amnesia. In the hope of uncovering his own identity, Dragon joins Chicago P.D. and battles evil mutants led by the mysterious Overlord."
The Adventures of Napkin Man,7.9,2013-2017,12,Animation,TV-Y,53,"A teacher, Mr. Anthony, teaches his students how to deal with various emotions appropriately. Mr. Anthony helps his students learn about emotions with stories about a superhero, Napkin Man, drawn on a napkin."
The New Adventures of Jonny Quest,7.2,1986-1987,30,"Action, Animation, Family",TV-Y7,"1,411",The story of the adventurous Jonny Quest who travels with his father and his friends around the world.
InHumanoids,7.5,1986,30,"Animation, Action, Adventure",,417,A team of human subterranean explorers and their allies are the surface's main defence against evil invading monsters.
Samurai Pizza Cats,7.4,1990-1991,30,"Animation, Action, Comedy",TV-Y7,974,The feline staff of a pizza joint fight crime as superheroes when called for.
Uchu Sentai Kyuranger,7.4,2017-2018,25,"Action, Adventure, Comedy",TV-PG,133,"Earth has been taken over by invaders. With the universe under their thrall, the tears of the people awaken the nine ultimate saviors, chosen by the KyuTama, and they are here for the ... See full summary »"
Ultraman Nexus,8.6,2004-2005,24,"Action, Adventure, Drama",TV-14,259,"The 18th show in Tsuburaya Productions' ULTRA series. Komon Kazuki is the latest member of TLT, a secret organization that destroy the invading ""space beasts""."
Bubblegum Crisis: Tokyo 2040,7.2,1998-1999,,"Animation, Action, Adventure",TV-MA,813,"Set in 2039-2040, This series is set in Megalo City, a city built over the ruins of Tokyo. Boomers, a line of android workers created by the Genom Corporation, perform dozens of tasks, from... See full summary »"
Teknoman,8.6,1995,,"Animation, Action, Drama",TV-Y7,63,"Tekkaman Blade takes place in the year 2300 AD. On a certain moment, the Radam attack earth. A few months after the beginning of the invasion, a tekkaman appears, he calls himself Blade and... See full summary »"
Ultraforce,6.2,1995- ,25,"Animation, Action, Sci-Fi",,124,"Ultras... Once ordinary people, now super-human, spread terror across the globe. Enemies of peace include Rune, Lord Pumpkin, and Sludge. The U.S. government forms a team led by Hardcase, ... See full summary »"
New Teen Titans,7.5,2011-2012,1,"Animation, Fantasy, Sci-Fi",,234,"The adventures of the teenage superhero team, Teen Titans."
Cadillacs and Dinosaurs,7.1,1993-1994,30,"Animation, Adventure, Sci-Fi",,391,The adventures of the human survivors in a future dinosaur dominated world.
Fangbone!,5.8,2014- ,23,"Animation, Action, Adventure",TV-PG,312,"Fangbone is a nine-year-old barbarian warrior from Skullbania who has landed in Eastwood Elementary's third grade class to save his native land from the vilest villain, Venomous Drool. With... See full summary »"
"Tarzan, Lord of the Jungle",7.7,1976-1978,30,"Animation, Action, Adventure",,263,"This series is based on the adventures of Tarzan who seeks to champion the less fortunate, to right wrongs and to protect both the animals in his jungle as well as the human visitors."
Rise of the Catwoman,7.6,2018- ,,Adventure,,18,A fan-made origin story in a 12 minute pilot type episode released on YouTube by Hidden Vault Films telling an alternate origin story of how Selina Kyle becomes Catwoman.
Captain Simian & The Space Monkeys,7.6,1996-1997,22,"Comedy, Family, Sci-Fi",,249,"A NASA monkey shot into space goes off course and is found by an alien race that mistakes him for Earth's dominant species. Charlie is given intelligence, the rank of Captain, a ship and a mission: to defeat the evil Nebula."
Spectreman,7.5,1971-1972,,"Action, Sci-Fi, Adventure",,237,"Sent by the Nebula Star to defend the Earth, a super-cyborg fights mutated pollution monsters created by the evil space-simians Gori and Rah."
Kamen Rider Ryuki,7.8,2002-2003,25,"Action, Adventure, Drama",TV-PG,560,"Thirteen card decks were created for thirteen Kamen Riders. They make Contracts with monsters from the mysterious Mirror World, a parallel world opposite to the real one in which only the Kamen Riders can exist."
Pretty Cure,7,2004-2005,25,"Animation, Action, Adventure",TV-PG,212,"Two young girls, Nagisa and Honoka, find mysterious ""fairies"" that grant the girls the ability to transform into the legendary warriors known as Pretty Cure and combat the forces of darkness."
Pac-Man and the Ghostly Adventures,4.9,2013-2016,30,"Animation, Action, Comedy",TV-Y7,631,Pac-Man saves Pac World from ghosts with his friends Cyli and Spiral.
Kamen Rider Amazons,7.8,2016-2017,45,"Action, Adventure, Drama",TV-PG,325,"Haruka and Jin, cultivation and wild. Around the contrasting of the two ""Amazon Riders"", crossed the intentions of a variety of characters, mysteries and stories."
Dynomutt Dog Wonder,6.7,1976-1977,30,"Animation, Action, Adventure",TV-G,667,"The adventures of a robotic dog superhero who proves as much a hindrance as to his master, the Blue Falcon."
Dick Tracy,7.6,1950-1952,30,Drama,,134,"Intrepid detective Dick Tracy tangles with a bizarre rogue's gallery of villians. But as always our stoic officer of the law, virtuous to a fault, proves himself up to the task of putting the criminals behind bars."
Transformers: The Headmasters,7.1,1987-1988,30,"Animation, Action, Adventure",,724,With the aid of the Headmasters the mighty Cybertrons (Autobots) continue to wage war against their evil counterparts the Destrons (Decepticons). But with Convoy (Optimus Prime) now gone ... See full summary »
Samurai Sentai Shinkenger,8.4,2009-2010,25,"Action, Adventure, Comedy",TV-PG,241,"For eighteen generations, samurai of the Shiba Clan have suppressed the evil intentions of the Gedoushu, malevolent spirits that enter the world of the living from gaps between buildings ... See full summary »"
Rave Master,7,2001-2002,24,"Animation, Action, Adventure",TV-Y7,296,"Haru Glory is a boy who lives with his sister, Cattleya, in Garage Island. After fishing out a thing called Plue, he meets Shiba who entrusted him with Rave Stone or more known as Holy ... See full summary »"
The Sub-Mariner,6.5,1966- ,,"Animation, Action, Fantasy",,461,The prince of the sunken city of Atlantis protects his home from all enemies both above and below the surface of the sea.
Kingdom Force,7.1,2019- ,,"Animation, Action, Adventure",,55,"A 3D-animated action series for kids ages 3-6, KINGDOM FORCE follows the fast-paced exploits of five mighty animal heroes as they serve and protect the citizens of five unique animal kingdoms."
Pretty Guardian Sailor Moon,7.4,2003-2004,30,"Action, Adventure, Fantasy",,612,Live-action series which is an original re-telling of the original Bishoujo Senshi Sailormoon manga and anime series.
Zak Storm,6.8,2016- ,22,"Animation, Action, Adventure",TV-Y7-FV,158,"Zak Storm is about Zak, a young teen who, when in the middle of a surfing competition, gets sucked into the Seven Seas of the Bermuda Triangle, and becomes the captain of a ship of misfits.... See full summary »"
Captain Vyom,8.4,1998-1999,24,"Action, Sci-Fi",,406,A superhero Captain Vyom is given a team of some exceptionally-powered soldiers to fight 12 great villains of all-time who escaped the prison located on a moon of Jupiter.
Astroboy,7.4,1980-2004,24,"Animation, Action, Adventure",TV-G,896,"Originally intended to be kept a secret, the Pinocchio-like character becomes a publicly renowned superhero -- complete with devices like laser-firing fingers, uncanny hearing, and ... See full summary »"
Double Dragon,6.5,1993-1994,30,"Animation, Action, Adventure",TV-Y7,269,A animated TV series based on the first Double Dragon video game.
Cyborg 009,7.5,2001-2002,160,"Animation, Action, Adventure",,479,"Nine super-powered cyborg soldiers join forces to combat Black Ghost, the terrorist organization which they were originally created to serve."
The Incredible Hulk,6.8,1982-1983,24,"Action, Animation, Adventure",TV-Y7,"1,555",A research scientist is cursed with the tendency to turn into a giant green brute under stress.
Action Man,6.7,2000-2002,30,"Animation, Action, Sport",TV-Y7,348,An extreme sports competitor uses his ability to instantly plan and perform death defying stunts to fight evil.
SheZow,5.9,2012-2013,30,"Animation, Action, Adventure",,546,The adventures of a boy bonded to a magic ring that turns him into a female superhero.
Mahou Sentai Magiranger,7.4,2005-2006,25,"Action, Adventure, Comedy",TV-14,151,"Forces from Infershia attack the surface world in order to resurrect N Ma, their emperor. Through their mother, the five Ozu Siblings discover that they are magicians chosen to defeat the ... See full summary »"
Choujin Sentai Jetman,8.3,1991-1992,25,"Action, Adventure, Comedy",TV-14,231,"In the late 90's, a orbiting Earth space center run by the Earth Defense Force Sky Force has commissioned a ceremony on the ""J-Project"". Lead by Commander Aya Odagiri who has selected five ... See full summary »"
The New Hanna-Barbera Cartoon Series,7.5,1962- ,30,"Animation, Family, Comedy",,226,A clash of a variety of different characters.
Jade Armor,,2022- ,,"Animation, Action, Adventure",TV-Y7,,"The martial arts-loving Lan Jun, an unlikely teenage heroine who must learn the ancient secrets of her family and uncover the unexpected, all while navigating life as a teen."
Teamo Supremo,4.1,2002-2004,30,"Animation, Action, Adventure",TV-Y,315,"The show tells of three superhero children: Captain Crandall (Spencer Breslin), Skate Lad (Alanna Ubach), and Rope Girl (Alanna Ubach). These three protect their state from all sorts of supervillains."
